API,FBRef
Jørgen Strand Larsen,Jørgen Strand Larsen
Toti António Gomes,Toti Gomes
Jaden Philogene,Jaden Philogene
Abdul Fatawu,Abdul Fatawu
Sávio 'Savinho' Moreira de Oliveira,Sávio 'Savinho' Moreira de Oliveira
Andy Irving,Andy Irving
Jesper Lindstrøm,Jesper Lindstrøm
Riccardo Calafiori,Riccardo Calafiori
Dean Huijsen,Dean Huijsen
Filip Jørgensen,Filip Jørgensen
Jake O'Brien,Jake O'Brien
Conor Townsend,Conor Townsend
Ben Brereton Díaz,Ben Brereton Díaz
Ismaïla Sarr,Ismaïla Sarr
Jorge Cuenca Barreno,Jorge Cuenca Barreno
Crysencio Summerville,Crysencio Summerville
Guido Rodríguez,Guido Rodríguez
Niclas Füllkrug,Niclas Füllkrug
William Osula,William Osula
Jean-Clair Todibo,Jean-Clair Todibo
Julián Araujo Zúñiga,Julián Araujo Zúñiga
Matthijs de Ligt,Matthijs de Ligt
Noussair Mazraoui,Noussair Mazraoui
João Pedro Ferreira Silva,João Pedro Ferreira Silva
Yasin Ayari,Yasin Ayari
Ryan Trevitt,Ryan Trevitt
Harrison Armstrong,Harrison Armstrong
Nico O'Reilly,Nico O'Reilly
Tyler Dibling,Tyler Dibling
Toby Collyer,Toby Collyer
Jenson Metcalfe,Jenson Metcalfe
Carl Rushworth,Carl Rushworth
